Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure
"GNIP","GNIP/M/AT/01","VIENNA (HOHE WARTE)","AT","1103500","48.2486111111111","16.3563888888889","198","Precipitation collectors - unknown","Partner: Zentralanstalt für Meteorologie und Geodynamik, Vienna","196011","Water - Precipitation - unspecified (not reported)","1960-11-15","1960-11-01","1960-11-30","","","","","","","","","20","6.9","7.9"
"GNIP","GNIP/M/AT/01","VIENNA (HOHE WARTE)","AT","1103500","48.2486111111111","16.3563888888889","198","Precipitation collectors - unknown","Partner: Zentralanstalt für Meteorologie und Geodynamik, Vienna","196012","Water - Precipitation - unspecified (not reported)","1960-12-15","1960-12-01","1960-12-31","","","","","","","","","27","2.3","6.1"
"GNIP","GNIP/M/AT/01","VIENNA (HOHE WARTE)","AT","1103500","48.2486111111111","16.3563888888889","198","Precipitation collectors - unknown","Partner: Zentralanstalt für Meteorologie und Geodynamik, Vienna","196101","Water - Precipitation - unspecified (not reported)","1961-01-15","1961-01-01","1961-01-31","","","","","","79","","Technische Hochschule","9","-2.1","4"
"GNIP","GNIP/M/AT/01","VIENNA (HOHE WARTE)","AT","1103500","48.2486111111111","16.3563888888889","198","Precipitation collectors - unknown","Partner: Zentralanstalt für Meteorologie und Geodynamik, Vienna","196102","Water - Precipitation - unspecified (not reported)","1961-02-15","1961-02-01","1961-02-28","","-9.9","University of Copenhagen","-67","University of Copenhagen","39.2","","Technische Hochschule","68","3.9","6.4"
"GNIP","GNIP/M/AT/01","VIENNA (HOHE WARTE)","AT","1103500","48.2486111111111","16.3563888888889","198","Precipitation collectors - unknown","Partner: Zentralanstalt für Meteorologie und Geodynamik, Vienna","196103","Water - Precipitation - unspecified (not reported)","1961-03-15","1961-03-01","1961-03-31","","-6.2","University of Copenhagen","-45.9","University of Copenhagen","43.2","","Technische Hochschule","36","8.8","7.1"
"GNIP","GNIP/M/AT/01","VIENNA (HOHE WARTE)","AT","1103500","48.2486111111111","16.3563888888889","198","Precipitation collectors - unknown","Partner: Zentralanstalt für Meteorologie und Geodynamik, Vienna","196104","Water - Precipitation - unspecified (not reported)","1961-04-15","1961-04-01","1961-04-30","","-7.2","University of Copenhagen","-57.6","University of Copenhagen","123","","Technische Hochschule","60","13.2","10.1"
"GNIP","GNIP/M/AT/01","VIENNA (HOHE WARTE)","AT","1103500","48.2486111111111","16.3563888888889","198","Precipitation collectors - unknown","Partner: Zentralanstalt für Meteorologie und Geodynamik, Vienna","196105","Water - Precipitation - unspecified (not reported)","1961-05-15","1961-05-01","1961-05-31","","-1.2","University of Copenhagen","-16.8","University of Copenhagen","174.5","","Technische Hochschule","84","13.2","10.4"
"GNIP","GNIP/M/AT/01","VIENNA (HOHE WARTE)","AT","1103500","48.2486111111111","16.3563888888889","198","Precipitation collectors - unknown","Partner: Zentralanstalt für Meteorologie und Geodynamik, Vienna","196106","Water - Precipitation - unspecified (not reported)","1961-06-15","1961-06-01","1961-06-30","","-7.1","University of Copenhagen","-55.8","University of Copenhagen","125.5","","Technische Hochschule","48","19.1","14.1"
"GNIP","GNIP/M/AT/01","VIENNA (HOHE WARTE)","AT","1103500","48.2486111111111","16.3563888888889","198","Precipitation collectors - unknown","Partner: Zentralanstalt für Meteorologie und Geodynamik, Vienna","196107","Water - Precipitation - unspecified (not reported)","1961-07-15","1961-07-01","1961-07-31","","-4.1","University of Copenhagen","-29.2","University of Copenhagen","140.5","","Technische Hochschule","83","18.5","13.6"
"GNIP","GNIP/M/AT/01","VIENNA (HOHE WARTE)","AT","1103500","48.2486111111111","16.3563888888889","198","Precipitation collectors - unknown","Partner: Zentralanstalt für Meteorologie und Geodynamik, Vienna","196108","Water - Precipitation - unspecified (not reported)","1961-08-15","1961-08-01","1961-08-31","","-6.6","University of Copenhagen","-53.3","University of Copenhagen","104","","Technische Hochschule","28","19.5","14.5"
"GNIP","GNIP/M/AT/01","VIENNA (HOHE WARTE)","AT","1103500","48.2486111111111","16.3563888888889","198","Precipitation collectors - unknown","Partner: Zentralanstalt für Meteorologie und Geodynamik, Vienna","196109","Water - Precipitation - unspecified (not reported)","1961-09-15","1961-09-01","1961-09-30","","-4.5","University of Copenhagen","-34.1","University of Copenhagen","61.8","","Technische Hochschule","22","17.7","13.7"
"GNIP","GNIP/M/AT/01","VIENNA (HOHE WARTE)","AT","1103500","48.2486111111111","16.3563888888889","198","Precipitation collectors - unknown","Partner: Zentralanstalt für Meteorologie und Geodynamik, Vienna","196110","Water - Precipitation - unspecified (not reported)","1961-10-15","1961-10-01","1961-10-31","","-13.8","University of Copenhagen","-91.6","University of Copenhagen","56","","Technische Hochschule","59","11.6","10.5"
