Parameter Category, Parameter,Location, Depth, Timestamp,Value,Unit, Data Source
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,5/3/14,8.204, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,5/4/14,9.596, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,5/5/14,8.871, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,5/6/14,7.171, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,5/7/14,3.858, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,5/8/14,-0.254, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,5/9/14,1.026, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,5/10/14,3.375, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,5/11/14,0.746, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,5/12/14,-2.212, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,5/13/14,-3.012, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,5/14/14,-0.954, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,5/15/14,3.95, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,5/16/14,6.037, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,5/17/14,8.325, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,5/18/14,9.926, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,5/19/14,10.842, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,5/20/14,9.962, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,5/21/14,8.733, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,5/22/14,8.374, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,5/23/14,6.875, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,5/24/14,4.9, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,5/25/14,2.748, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,5/26/14,7.184, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,5/27/14,10.15, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,5/28/14,12.378, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,5/29/14,10.637, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,5/30/14,8.175, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,5/31/14,10.85, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,6/1/14,12.046, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,6/2/14,12.317, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,6/3/14,13.35, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,6/4/14,12.846, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,6/5/14,12.767, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,6/6/14,12.425, degreeCelsius, EastRiver
